N,P,HASH,EXEC_TYPE,CHECKSUM,THROUGHPUT,PARTITION_TIME,GLOBAL_TIME
100000,16,mask,plain_novec,167721051258154842028923385100699716177,392156862.74509799,0.00051000000000000004,2.83988
100000,16,mul,plain_novec,152281802174593608374394925241198893854,377358490.56603777,0.00052999999999999998,1.35747
100000,32,mask,plain_novec,235082523872698469814010259685181055441,434782608.69565219,0.00046000000000000001,1.2251099999999999
100000,32,mul,plain_novec,1054032439998832700510327897033488513465,384615384.61538464,0.00051999999999999995,1.22329
100000,64,mask,plain_novec,1469528380680817455410419583933167195345,434782608.69565219,0.00046000000000000001,1.2042900000000001
100000,64,mul,plain_novec,10422935700835635458386944809301826182,357142857.14285719,0.00055999999999999995,1.20584
100000,128,mask,plain_novec,1422156539266912553017727254989207274577,434782608.69565219,0.00046000000000000001,1.2436400000000001
100000,128,mul,plain_novec,127005508186243874999480733202297359912,377358490.56603777,0.00052999999999999998,1.2076899999999999
100000,256,mask,plain_novec,1780086534370470530615510558714115420625,444444444.44444448,0.00044999999999999999,1.20689
100000,256,mul,plain_novec,18797238714820422893464853897147609950,384615384.61538464,0.00051999999999999995,1.2084999999999999
100000,512,mask,plain_novec,58615451481728545542137311502802293713,444444444.44444448,0.00044999999999999999,1.2174400000000001
100000,512,mul,plain_novec,1815852179679158035012070653241180567263,370370370.37037045,0.0005399999999999999,1.20462
100000,1024,mask,plain_novec,222301358646950786615306328081102812625,434782608.69565219,0.00046000000000000001,1.2058800000000001
100000,1024,mul,plain_novec,516035856790967927810427131977049413319,377358490.56603777,0.00052999999999999998,1.2297400000000001
100000,2048,mask,plain_novec,14062927226461672218734288854767290833,444444444.44444448,0.00044999999999999999,1.23959
100000,2048,mul,plain_novec,170542378188597342203184426806742416745,377358490.56603777,0.00052999999999999998,1.2107699999999999
100000,4096,mask,plain_novec,36719737363845476108886993994216438225,444444444.44444448,0.00044999999999999999,1.2019899999999999
100000,4096,mul,plain_novec,1004773086262182910217672450953845022548,377358490.56603777,0.00052999999999999998,1.2068300000000001
1000000,16,mask,plain_novec,61874152993317525288842147303999724556,378787878.78787881,0.00528,1.2647299999999999
1000000,16,mul,plain_novec,13936846770681496935161975947541611687,340715502.55536628,0.0058700000000000002,1.2808999999999999
1000000,32,mask,plain_novec,1704355413127794140813038890483696085836,382409177.82026768,0.0052300000000000003,1.28746
1000000,32,mul,plain_novec,80850822265937132794758985974616170035,335008375.20938027,0.0059699999999999996,1.2903500000000001
1000000,64,mask,plain_novec,113689191253475016001584193748754100620,373134328.35820895,0.0053600000000000002,1.2532799999999999
1000000,64,mul,plain_novec,147038390348713689956059741908334996911,341296928.327645,0.0058600000000000006,1.2898000000000001
1000000,128,mask,plain_novec,439894099017306953617914517562725884044,377358490.56603771,0.0053,1.26173
1000000,128,mul,plain_novec,3414338629257411113669987232253808556,346020761.24567473,0.0057800000000000004,1.3062100000000001
1000000,256,mask,plain_novec,159941088740229321921789418412183752716,380228136.88212931,0.0052599999999999999,1.2665200000000001
1000000,256,mul,plain_novec,4328118668070742066403024640602178217,332778702.16306156,0.0060099999999999997,1.2870200000000001
1000000,512,mask,plain_novec,766527569858792240010144027885537090316,380952380.95238101,0.0052499999999999995,1.3040700000000001
1000000,512,mul,plain_novec,155828822606029660595621095819214095338,346020761.24567473,0.0057800000000000004,1.2736499999999999
1000000,1024,mask,plain_novec,738072610196379798413962330925849929996,377358490.56603771,0.0053,1.2622500000000001
1000000,1024,mul,plain_novec,93987111590631188903578680072796781313,340136054.42176872,0.0058799999999999998,1.2563599999999999
1000000,2048,mask,plain_novec,188010433862506544013296716459581072652,376647834.27495289,0.0053100000000000005,1.26664
1000000,2048,mul,plain_novec,295646411675333570917385771089718110669,336134453.78151256,0.0059500000000000004,1.2588200000000001
1000000,4096,mask,plain_novec,9125499772873484768443977412051879180,379506641.36622387,0.0052700000000000004,1.2616499999999999
1000000,4096,mul,plain_novec,22756426582611224866584251715593856741,345423143.35060447,0.00579,1.2607299999999999
10000000,16,mask,plain_novec,646785527683847652617387416037230238153,371057513.91465676,0.053900000000000003,1.8423400000000001
10000000,16,mul,plain_novec,482969819862384995818340254921523825424,330414670.41136628,0.06053,1.83283
10000000,32,mask,plain_novec,42867239462688925741090953971268491417,372578241.43070048,0.053679999999999999,1.80382
10000000,32,mul,plain_novec,1318669243515875468612311719110511451862,325998370.00814992,0.061350000000000002,1.8259000000000001
10000000,64,mask,plain_novec,180344641600089295815274362764746307001,372370135.91509962,0.053710000000000001,1.8300700000000001
10000000,64,mul,plain_novec,1571712284003322414011862969289586078175,331235508.44650543,0.060380000000000003,1.82626
10000000,128,mask,plain_novec,82809270534509212616816454287959339385,370782350.76010382,0.053940000000000002,1.86459
10000000,128,mul,plain_novec,97515768730828339757257669040114950864,326850792.61317205,0.061190000000000001,1.82666
10000000,256,mask,plain_novec,1314774605202903785416717757788193993593,370713623.72567195,0.053949999999999998,1.81088
10000000,256,mul,plain_novec,4876792274535881369440684866151192685,330414670.41136628,0.06053,1.83172
10000000,512,mask,plain_novec,536831656504787356614739286363186079865,372162262.74655753,0.053739999999999996,1.85398
10000000,512,mul,plain_novec,153015346407195039898017491127375235415,331785003.31785005,0.06028,1.8500000000000001
10000000,1024,mask,plain_novec,178937207405185879346991956829105386105,372300819.06180191,0.053720000000000004,1.8764799999999999
10000000,1024,mul,plain_novec,73434978643226587214172138692436459252,318877551.02040815,0.062719999999999998,1.8241499999999999
10000000,2048,mask,plain_novec,174751143964903068612950250125392416377,371057513.91465676,0.053900000000000003,1.82846
10000000,2048,mul,plain_novec,208676546108534431517288459441205135625,327546675.40124464,0.061060000000000003,1.8400099999999999
10000000,4096,mask,plain_novec,118826605224740459825505141072278363769,362318840.57971013,0.055199999999999999,1.81358
10000000,4096,mul,plain_novec,76644521985652360106391080870612553536,328083989.50131232,0.06096,1.87199
100000,16,mask,plain_vec,167721051258154842028923385100699716177,800000000,0.00025000000000000001,1.30785
100000,16,mul,plain_vec,152281802174593608374394925241198893854,425531914.89361697,0.00047000000000000004,1.22916
